GemeentecodeGM;Gemeentenaam
GM1680;Aa en Hunze
GM0738;Aalburg
GM0358;Aalsmeer
GM0197;Aalten
GM0059;Achtkarspelen
GM0482;Alblasserdam
GM0613;Albrandswaard
GM0361;Alkmaar
GM0141;Almelo
GM0034;Almere
GM0484;Alphen aan den Rijn
GM1723;Alphen-Chaam
GM0060;Ameland
GM0307;Amersfoort
GM0362;Amstelveen
GM0363;Amsterdam
GM0200;Apeldoorn
GM0003;Appingedam
GM0202;Arnhem
GM0106;Assen
GM0743;Asten
GM0744;Baarle-Nassau
GM0308;Baarn
GM0489;Barendrecht
GM0203;Barneveld
GM0005;Bedum
GM0888;Beek
GM0370;Beemster
GM0889;Beesel
GM0007;Bellingwedde
GM1945;Berg en Dal
GM1724;Bergeijk
GM0893;Bergen (L.)
GM0373;Bergen (NH.)
GM0748;Bergen op Zoom
GM1859;Berkelland
GM1721;Bernheze
GM0753;Best
GM0209;Beuningen
GM0375;Beverwijk
GM0063;het Bildt
GM0310;De Bilt
GM0585;Binnenmaas
GM1728;Bladel
GM0376;Blaricum
GM0377;Bloemendaal
GM1901;Bodegraven-Reeuwijk
GM0755;Boekel
GM0009;Ten Boer
GM1681;Borger-Odoorn
GM0147;Borne
GM0654;Borsele
GM0756;Boxmeer
GM0757;Boxtel
GM0758;Breda
GM0501;Brielle
GM1876;Bronckhorst
GM0213;Brummen
GM0899;Brunssum
GM0312;Bunnik
GM0313;Bunschoten
GM0214;Buren
GM0502;Capelle aan den IJssel
GM0383;Castricum
GM0109;Coevorden
GM1706;Cranendonck
GM0611;Cromstrijen
GM1684;Cuijk
GM0216;Culemborg
GM0148;Dalfsen
GM1891;Dantumadiel
GM0503;Delft
GM0010;Delfzijl
GM0762;Deurne
GM0150;Deventer
GM0384;Diemen
GM1774;Dinkelland
GM0221;Doesburg
GM0222;Doetinchem
GM0766;Dongen
GM0058;Dongeradeel
GM0505;Dordrecht
GM0498;Drechterland
GM1719;Drimmelen
GM0303;Dronten
GM0225;Druten
GM0226;Duiven
GM1711;Echt-Susteren
GM0385;Edam-Volendam
GM0228;Ede
GM0317;Eemnes
GM1651;Eemsmond
GM0770;Eersel
GM1903;Eijsden-Margraten
GM0772;Eindhoven
GM0230;Elburg
GM0114;Emmen
GM0388;Enkhuizen
GM0153;Enschede
GM0232;Epe
GM0233;Ermelo
GM0777;Etten-Leur
GM1722;Ferwerderadiel
GM0070;Franekeradeel
GM1940;De Fryske Marren
GM0779;Geertruidenberg
GM0236;Geldermalsen
GM1771;Geldrop-Mierlo
GM1652;Gemert-Bakel
GM0907;Gennep
GM0689;Giessenlanden
GM0784;Gilze en Rijen
GM1924;Goeree-Overflakkee
GM0664;Goes
GM0785;Goirle
GM1942;Gooise Meren
GM0512;Gorinchem
GM0513;Gouda
GM0786;Grave
GM0518;'s-Gravenhage
GM0014;Groningen
GM0015;Grootegast
GM1729;Gulpen-Wittem
GM0158;Haaksbergen
GM0788;Haaren
GM0392;Haarlem
GM0393;Haarlemmerliede en Spaarnwoude
GM0394;Haarlemmermeer
GM1655;Halderberge
GM0160;Hardenberg
GM0243;Harderwijk
GM0523;Hardinxveld-Giessendam
GM0017;Haren
GM0072;Harlingen
GM0244;Hattem
GM0396;Heemskerk
GM0397;Heemstede
GM0246;Heerde
GM0074;Heerenveen
GM0398;Heerhugowaard
GM0917;Heerlen
GM1658;Heeze-Leende
GM0399;Heiloo
GM0400;Den Helder
GM0163;Hellendoorn
GM0530;Hellevoetsluis
GM0794;Helmond
GM0531;Hendrik-Ido-Ambacht
GM0164;Hengelo
GM0796;'s-Hertogenbosch
GM0252;Heumen
GM0797;Heusden
GM0534;Hillegom
GM0798;Hilvarenbeek
GM0402;Hilversum
GM1735;Hof van Twente
GM1911;Hollands Kroon
GM0118;Hoogeveen
GM0018;Hoogezand-Sappemeer
GM0405;Hoorn
