RegioS;Inhabitants_per_km2
Aa en Hunze;92
Aalburg;
Aalsmeer;1590
Aalten;281
Ter Aar;
Aarle-Rixtel;
Abcoude;
Achtkarspelen;273
Akersloot;
Alblasserdam;2294
Albrandswaard;1190
Alkemade;
Alkmaar;995
Almelo;1087
Almere;1662
Alphen aan den Rijn;892
Alphen en Riel;
Alphen-Chaam;111
Altena;281
Ambt Delden;
Ambt Montfort;
Ameland;63
Amerongen;
Amersfoort;2514
Ammerzoden;
Amstelveen;2208
Amsterdam;5277
Andijk;
Angerlo;
Anloo;
Anna Paulowna;
Apeldoorn;485
Appingedam;
Arcen en Velden;
Arnemuiden;
Arnhem;1660
Assen;841
Asten;240
Avereest;
Axel;
Baarle-Nassau;91
Baarn;762
Bakel en Milheeze;
Barendrecht;2463
Barneveld;341
Bathmen;
Bedum;
Beek (L.);755
Beek en Donk;
Beekdaelen;461
Beemster;143
Beesel;481
Beilen;
Belfeld;
Bellingwedde;
Bemmel;
Bennebroek;
Berg en Dal;406
Bergambacht;
Bergeijk;186
Bergen (L.);127
Bergen (NH.);300
Bergen op Zoom;844
Bergeyk;
Bergh;
Bergschenhoek;
Berkel en Rodenrijs;
Berkel-Enschot;
Berkelland;170
Berlicum;
Bernheze;351
Bernisse;
Best;881
Beuningen;599
Beverwijk;2275
het Bildt;
De Bilt;656
Binnenmaas;
Bladel;273
Bladel en Netersel;
Blaricum;1076
Bleiswijk;
Bloemendaal;590
Boarnsterhim;
Bodegraven;
Bodegraven-Reeuwijk;468
Boekel;318
Ten Boer;
Bolsward;
Borculo;
Borger;
Borger-Odoorn;93
Born;
Borne;910
Borsele;161
Boskoop;
Boxmeer;266
Boxtel;477
Brakel;
Breda;1464
Brederwiede;
Breukelen;
Brielle;633
Broekhuizen;
Bronckhorst;127
Brouwershaven;
Bruinisse;
Brummen;250
Brunssum;1604
Budel;
Bunnik;415
Bunschoten;725
Buren;202
Bussum;
Capelle aan den IJssel;4761
Castricum;726
Chaam;
Coevorden;119
Cothen;
Cranendonck;275
Cromstrijen;
Cuijk;497
Culemborg;994
Dalen;
Dalfsen;175
Dantumadeel;
Dantumadiel;224
Delft;4572
Delfzijl;
Denekamp;
Deurne;277
Deventer;775
Didam;
Diemen;2612
Diepenheim;
Diepenveen;
Diessen;
Diever;
Dijk en Waard;
Dinkelland;151
Dinteloord en Prinsenland;
Dinxperlo;
Dirksland;
Dodewaard;
Doesburg;960
Doetinchem;737
Domburg;
Dongen;902
Dongeradeel;
Doorn;
Dordrecht;1517
Drechterland;337
Driebergen-Rijsenburg;
Drimmelen;287
Dronten;126
Drunen;
Druten;505
Duiveland;
Duiven;739
Den Dungen;
Dussen;
Dwingeloo;
Echt;
Echteld;
Echt-Susteren;308
Edam-Volendam;668
Ede;373
Eelde;
Eemnes;302
Eemsdelta;170
Eemsmond;
Eersel;237
Egmond;
Eibergen;
Eijsden;
Eijsden-Margraten;334
Eindhoven;2689
Elburg;367
Elst;
Emmen;319
Enkhuizen;1469
Enschede;1134
Epe;213
Ermelo;315
Esch;
Etten-Leur;793
Ferwerderadeel;
Ferwerderadiel;
Fijnaart en Heijningen;
Franekeradeel;
De Friese Meren;
De Fryske Marren;147
Gaasterlân-Sleat;
Gasselte;
Geertruidenberg;817
Geldermalsen;
Geldrop;
Geldrop-Mierlo;1292
Geleen;
Gemert;
Gemert-Bakel;252
Gendringen;
Gendt;
Genemuiden;
Gennep;358
Giessenlanden;
Gieten;
Gilze en Rijen;409
Goedereede;
Goeree-Overflakkee;194
Goes;417
Goirle;557
Gooise Meren;1407
Goor;
Gorinchem;1987
Gorssel;
Gouda;4464
Graafstroom;
Graft-De Rijp;
Gramsbergen;
Grave;459
's-Graveland;
's-Gravendeel;
's-Gravenhage (gemeente);6650
's-Gravenmoer;
's-Gravenzande;
Groenlo;
Groesbeek;
Groningen (gemeente);1257
Grootegast;
Grubbenvorst;
Gulpen;
Gulpen-Wittem;194
Haaksbergen;231
Haaren;
Haarlem;5573
Haarlemmerliede en Spaarnwoude;
Haarlemmermeer;799
Haelen;
Halderberge;409
Halsteren;
Den Ham;
Hardenberg;196
Harderwijk;1253
Hardinxveld-Giessendam;1089
Haren;
Harenkarspel;
Harlingen;633
Harmelen;
Hasselt;
Hattem;530
Havelte;
Hedel;
Heel;
Heemskerk;1434
Heemstede;3001
Heerde;238
Heerenveen;266
Heerewaarden;
Heerhugowaard;1528
Heerjansdam;
Heerlen;1935
Heesch;
Heeze;
Heeze-Leende;156
Heiloo;1291
Heino;
Helden;
Den Helder;1250
Hellendoorn;261
Hellevoetsluis;981
Helmond;1742
Helvoirt;
Hendrik-Ido-Ambacht;2945
Hengelo (Gld.);
Hengelo (O.);1332
's-Hertogenbosch;1414
Heteren;
Heumen;417
Heusden;571
Heythuysen;
Hillegom;1724
Hilvarenbeek;166
Hilversum;2000
Hoeksche Waard;327
Hoevelaken;
Hoeven;
Hof van Twente;165
Het Hogeland;99
Hollands Kroon;136
Holten;
Hontenisse;
Hooge en Lage Mierde;
Hooge en Lage Zwaluwe;
Hoogeloon, Hapert en Casteren;
Hoogeveen;436
Hoogezand-Sappemeer;
Hoorn;3613
Horst;
Horst aan de Maas;225
Houten;914
Huijbergen;
Huissen;
Huizen;2600
Hulst;137
Hummelo en Keppel;
Hunsel;
IJsselham;
IJsselmuiden;
IJsselstein;1605
Jacobswoude;
Kaag en Braassem;435
Kampen;383
Kapelle;347
Katwijk;2667
Kerkrade;2074
Kerkwijk;
Kessel;
