city;Latitude;Longitude
Kralendijk;12.1517;-68.2761
The Bottom;17.6261;-63.2492
Oranjestad;17.4833;-62.9833
Westkapelle;51.5293;3.4409
Eede;51.2467;3.4436
Zuidzande;51.3411;3.4519
Domburg;51.5625;3.4964
Sint Kruis;51.2731;3.4997
Oostburg;51.3333;3.5
Groede;51.3789;3.5069
Aagtekerke;51.5464;3.5094
Meliskerke;51.5153;3.5119
Groot-Valkenisse;51.4889;3.5156
Klein Mariekerke;51.5281;3.5314
Koudekerke;51.4808;3.5528
Waterlandkerkje;51.3175;3.5539
Grijpskerke;51.5339;3.5617
Vlissingen;51.45;3.5833
Oost-Souburg;51.4636;3.6008
Middelburg;51.4997;3.6136
IJzendijke;51.3214;3.6164
Arnemuiden;51.5;3.6667
Veere;51.55;3.6667
Borssele;51.4231;3.7353
Westenschouwen;51.705;3.7403
Wissenkerke;51.5855;3.7472
Kortgene;51.5583;3.8
Heinkenszand;51.473;3.8128
Ellewoutsdijk;51.3903;3.8158
Ellemeet;51.7297;3.8164
Terneuzen;51.3333;3.8333
Elkerzee;51.725;3.8436
Wissekerke;51.5014;3.8454
Colijnsplaat;51.5986;3.8481
Oudelande;51.4083;3.8536
Goes;51.5;3.8833
Kats;51.5672;3.8856
Nieuwerkerke;51.7;3.8903
Zuiddorpe;51.2342;3.9017
Axel;51.2656;3.9089
Zaamslag;51.3125;3.9131
Brouwershaven;51.7264;3.9142
Zierikzee;51.6497;3.9164
Noordgouwe;51.6936;3.9386
Kattendijke;51.5228;3.9433
Kapelle;51.5;3.95
Zonnemaire;51.7125;3.9508
Koewacht;51.2333;3.9667
Ossenisse;51.3883;3.9778
Bommenede;51.7344;3.9789
Stoppeldijkveer;51.3219;3.9856
Wemeldinge;51.5175;3.9956
Schore;51.4625;3.9989
Stavenisse;51.5861;4.0122
Stellendam;51.8047;4.0242
Kruiningen;51.4481;4.0342
Hulst;51.28;4.0528
Rockanje;51.8706;4.0689
Melissant;51.7681;4.0761
Herkingen;51.71;4.0872
Clinge;51.2706;4.0881
Dirksland;51.75;4.1
Oostvoorne;51.9119;4.1008
Nieuw-Helvoet;51.8381;4.1297
Hoek van Holland;51.9763;4.1323
Hellevoetsluis;51.8333;4.1333
Nieuwenhoorn;51.8542;4.1453
Sommelsdijk;51.7547;4.1531
Brielle;51.9017;4.1625
Middelharnis;51.7535;4.1647
Nieuwe-Tonge;51.715;4.1653
Vierpolders;51.8783;4.1794
Rilland;51.4164;4.1808
Oudenhoorn;51.8269;4.1917
Oude-Tonge;51.6914;4.2128
Naaldwijk;51.9936;4.2133
