year;month;day;mean;mean_2;mean_1;min_2;min_1;max_2;max_1;hist
2021;1;1;3;3.7;4.2;2.5;2.4;5.8;6.8;4.47
2021;1;2;3.6;4.2;3;2.4;-3.5;6.8;5.7;4.93
2021;1;3;3.3;3;3.6;-3.5;3.1;5.7;4.5;5.23
2021;1;4;2.8;3.6;3.3;3.1;2.8;4.5;4;4.99
2021;1;5;2.9;3.3;2.8;2.8;2.3;4;3.6;4.47
2021;1;6;2.4;2.8;2.9;2.3;2.1;3.6;3.6;4.10
2021;1;7;2.6;2.9;2.4;2.1;1.3;3.6;3.2;4.42
2021;1;8;1.1;2.4;2.6;1.3;1.2;3.2;4.1;5.25
2021;1;9;-0.6;2.6;1.1;1.2;-2.8;4.1;4.4;5.41
2021;1;10;1.6;1.1;-0.6;-2.8;-4.5;4.4;6.5;4.99
2021;1;11;5;-0.6;1.6;-4.5;-3.4;6.5;5.2;4.91
2021;1;12;5.2;1.6;5;-3.4;2.9;5.2;7;4.88
2021;1;13;4.3;5;5.2;2.9;1;7;8.3;4.83
2021;1;14;1.2;5.2;4.3;1;1.7;8.3;6.2;3.78
2021;1;15;1.2;4.3;1.2;1.7;-0.7;6.2;3.6;3.89
2021;1;16;0.8;1.2;1.2;-0.7;-0.9;3.6;2.4;2.99
2021;1;17;3.4;1.2;0.8;-0.9;-0.9;2.4;2;2.63
2021;1;18;4.8;0.8;3.4;-0.9;-0.1;2;7.9;2.08
2021;1;19;7.7;3.4;4.8;-0.1;2.1;7.9;6.6;2.20
2021;1;20;9;4.8;7.7;2.1;4.4;6.6;10.5;1.80
2021;1;21;7;7.7;9;4.4;6.8;10.5;10.9;1.68
2021;1;22;4;9;7;6.8;3.3;10.9;12;1.98
2021;1;23;3.2;7;4;3.3;0.9;12;6.6;2.42
2021;1;24;2.4;4;3.2;0.9;1.1;6.6;5.2;2.89
2021;1;25;2.3;3.2;2.4;1.1;0;5.2;5.3;2.53
2021;1;26;4.5;2.4;2.3;0;-2.9;5.3;6;3.10
2021;1;27;4.7;2.3;4.5;-2.9;2.9;6;7;4.28
2021;1;28;5.1;4.5;4.7;2.9;1.6;7;7.1;4.58
2021;1;29;7.4;4.7;5.1;1.6;4;7.1;6.7;4.03
